Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,Exclusivity Protected Indication *,Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
fomepizole,Antizole,12/22/88,Treatment of methanol or ethylene glycol poisoning.,Designated/Approved,,"As an antidote to ethylene glycol (antifreeze) poisoning, or for use in suspected ethylene glycol ingestion.", 12/04/1997 , 12/04/2004 ,,"Par Pharmaceuticals, Inc",1 Ram Ridge Road,,Chestnut Ridge,New York,10977,United States,33388
fomepizole,Antizole,12/22/88,Treatment of methanol or ethylene glycol poisoning.,Designated/Approved,,"Use for suspected or confirmed methanol poisoning, either alone or in combination with hemodialysis", 12/08/2000 , 12/08/2007 ,,"Par Pharmaceuticals, Inc",1 Ram Ridge Road,,Chestnut Ridge,New York,10977,United States,33388
fosbretabulin tromethamine,,6/8/16,Treatment of glioma,Designated,Not FDA Approved for Orphan Indication,,,,,"Mateon Therapeutics, Inc.",701 Gateway Boulevard,Suite 210,South San Francisco,California,94080,United States,524816
fosbretabulin tromethamine,,12/29/15,Treatment of neuroendocrine tumors,Designated,Not FDA Approved for Orphan Indication,,,,,"Mateon Therapeutics, Inc.",701 Gateway Blvd,Suite 210,South San Francisco,California,94080,United States,500715
fosdenopterin,Nulibry,11/5/09,Treatment of molybdenum cofactor deficiency type A (MoCD),Designated/Approved,,to reduce the risk of mortality in patients with molybdenum cofactor deficiency (MoCD) Type A, 02/26/2021 , 02/26/2028 ,to reduce the risk of mortality in patients with molybdenum cofactor deficiency (MoCD) Type A,"Origin Biosciences, Inc.",75 Park Plaza,,Boston,Massachusetts,2116,United States,291209
fosfomycin/tobramycin,,11/28/08,Treatment of pulmonary infections associated with cystic fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,"CURx Pharmaceuticals, Inc.",3210 Merryfield Row,,San Diego,California,92121,United States,271908
fosgemcitabine palabenamide,,6/11/19,Treatment of biliary tract cancer,Designated,Not FDA Approved for Orphan Indication,,,,,NuCana plc,3 Lochside Way,,Edinburgh,Scotland,,United Kingdom,644618
Fosphenytoin,Cerebyx,6/4/91,For the acute treatment of patients with status epilepticus of the grand mal type.,Designated/Approved,,For the control of generalized convulsive status epilepticus., 08/05/1996 , 08/05/2003 ,,Warner-Lambert Company,2800 Plymouth Road,,Ann Arbor,Michigan,48106,United States,55790
fostamatinib,,1/31/18,Treatment of autoimmune hemolytic anemia (AIHA),Designated,Not FDA Approved for Orphan Indication,,,,,"Rigel Pharmaceuticals, INc.",1180 Veterans Blvd,,South San Francisco,California,94080,United States,544516
fostamatinib disodium hexahydrate,,8/25/15,Treatment of immune thrombocytopenic purpura,Designated/Approved,,TAVALISSE is indicated for the treatment of thrombocytopenia in adult patients with chronic immune thrombocytopenia (ITP) who have had an insufficient response to a previous treatment., 04/17/2018 , 04/17/2025 ,TAVALISSE is indicated for the treatment of thrombocytopenia in adult patients with chronic immune thrombocytopenia (ITP) who have had an insufficient response to a previous treatment.,"Rigel Pharmaceuticals, Inc.",1180 Veterans Boulevard,,South San Francisco,California,94080,United States,487715
fresolimumab,,10/21/10,Treatment of primary focal segmental glomerulosclerosis,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Genzyme, a Sanofi Company",200 Crossing Boulevard,,Framingham,Massachusetts,1702,United States,313510
"Fructose-1,6-diphosphate",,5/29/98,Treatment of painful vaso-occlusive episodes associated with sickle cell disease.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Questcor Pharmaceuticals, Inc.",3260 Whipple Road,,Union City,California,94587,United States,112398
FTV1+GDP-fucose,,3/18/11,To improve homing to bone (treatment of myeloablation) in patients receiving hematopoietic stem cell transplantation.,Designated,Not FDA Approved for Orphan Indication,,,,,"America Stem Cell, Inc.",11014 Bar X Trail,,Helotes,Texas,78023,United States,321010
Full Phosphorothioate Antisense Oligonucleotide against EWS-Fli-1 nanoparticles,,9/22/08,Treatment of Ewing's sarcoma,Designated,Not FDA Approved for Orphan Indication,,,,,The Cure Our Children Foundation,1730 Michael Lane,,Pacific Palisades,California,90272,United States,202505
Fully Human Anti-BCMA (B-Cell Maturation Antigen) Autologous Chimeric Antigen Receptor (CAR) T Cell,,8/28/19,Treatment of Multiple Myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,CARsgen Therapeutics Corporation,"6575 West Loop South, Suite 455",,Bellaire,Texas,77401,United States,699819
Fully human anti-galectin-9 IgG4 monoclonal antibody,,11/10/21,Treatment of pancreatic cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"PureTech Health, LLC.",6 Tide Street,,Boston,Massachusetts,2210,United States,845321
Fully human anti-human neonatal Fc receptor (hFcRn) IgG1 monoclonal antibody,,6/24/21,Treatment of Myasthenia Gravis,Designated,Not FDA Approved for Orphan Indication,,,,,"Immunovant Sciences, GmbH",Viaduktstrasse 8,4051 Basel,Basel,Basel-Stadt,4501,Switzerland,809421
fully human anti-proMyostatin monoclonal antibody of the IgG4/lambda isotype that binds to human pro- and latent myostatin with high affinity,,3/22/18,Treatment of spinal muscular atrophy,Designated,Not FDA Approved for Orphan Indication,,,,,Scholar Rock,620 Memorial Drive,Suite E,Cambridge,Massachusetts,2139,United States,629218
Fully Human CD19 / CD22 Dual Target Chimeric Antigen Receptor Autologous T Cell Injection,,11/24/21,Treatment of Acute Lymphoblastic Leukemia,Designated,Not FDA Approved for Orphan Indication,,,,,"Nanjing IASO Biotherapeutics Co., Ltd.","10th floor, Building D, Phase II","Zhongdan Eco Life Science Industrial Park, No. 3-1 Xinjinhu Rd.","Jiangbei New District, Nanjing",Jiangsu,210000,China,848821
Fully human IgG1 antibody specific for CD33,,2/27/17,Treatment of myelodysplastic syndromes (MDS),Designated,Not FDA Approved for Orphan Indication,,,,,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,6877,United States,555316
fully human IgG2 monoclonal antibody that binds insulin receptors,,6/9/15,Treatment of congenital hyperinsulinism,Designated,Not FDA Approved for Orphan Indication,,,,,"Rezolute, Inc.",201 Redwood Shores Parkway,,Redwood City,California,94065,United States,430714
Fully human immunoglobulin G1 monoclonal antibody that targets CD32b,,1/29/19,Treatment of mantle cell lymphoma,Designated,Not FDA Approved for Orphan Indication,,,,,BioInvent International AB,Ideon Science Park,,Lund,Sk宥 County,,Sweden,669218
fully human monoclonal IgG1 antibody against the type 2 isoform of human Claudin 18 protein (Claudin 18.2).,,4/6/21,"Treatment of gastric cancer, including cancer of gastroesophageal junction",Designated,Not FDA Approved for Orphan Indication,,,,,"NovaRock Biotherapeutics, Ltd.",801 Charles Ewing Blvd.,,Ewing,New Jersey,8628,United States,810021
fully human nicotine-specific monoclonal antibody,,8/22/18,Treatment of thromboangiitis obliterans (Buergers disease),Designated,Not FDA Approved for Orphan Indication,,,,,"Antidote Therapeutics, Inc.",708 Quince Orchard Rd.,Suite 250-C,Gaithersburg,Maryland,20878,United States,647218
"fully human, antagonistic IgG1 monoclonal antibody targeting IL-27 subunit alpha (p28)",,10/8/20,Treatment of hepatocellular carcinoma,Designated,Not FDA Approved for Orphan Indication,,,,,Surface Oncology,"50 Hampshire Street, 8th Floor",,Cambridge,Massachusetts,2139,United States,771820
fusion protein comprised of a circularly-permuted interleukin-2 (IL-2) with the extracellular domain of IL-2 receptor alpha,,3/9/21,Treatment of mucosal melanoma,Designated,Not FDA Approved for Orphan Indication,,,,,"Alkermes, Inc.",852 Winter Street,,Waltham,Massachusetts,02451-1420,United States,806020
fusion protein comprised of an enzymatically active Shiga-like toxin-I A1 subunit fused to a human single chain variable fragment with affinity for human CD38 cell surface protein,,12/19/19,Treatment of Multiple Myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,"Molecular Templates, Inc.",9301 Amberglen Blvd. Suite 100,,Austin,Texas,78729,United States,713819
Fusion protein consisting of human immunoglobim G1 constant region Fc region fused to the human receptor binding domain of ectodysplasin-A1,,1/11/06,Treatment of X-linked hypohidrotic ectodermal dysplasia,Designated,Not FDA Approved for Orphan Indication,,,,,Espoir XLHED Sarl,EPFL Innovation Park,15 avenue Secheron,Geneva,Geneva,,Switzerland,216005
Fusion protein linking human frataxin to a cell-penetrant peptide,,7/19/17,Treatment of Friedreich's ataxia,Designated,Not FDA Approved for Orphan Indication,,,,,"Larimar Therapeutics, Inc.",Three Bala Plaza East,Suite 506,Bala Cynwyd,Pennsylvania,19004,United States,590617
G17DT Immunogen,,7/18/02,Treatment of gastric cancer,Designated,Not FDA Approved for Orphan Indication,,,,,"Cancer Advances, Inc.",Westpark Corporate Center,Suite 210,Durham,North Carolina,27713,United States,157002
G17DT Immunogen,,7/10/02,Treatment of adenocarcinoma of the pancreas,Designated,Not FDA Approved for Orphan Indication,,,,,"Cancer Advances, Inc.",Westpark Corporate Center,Suite 210,Durham,North Carolina,27713,United States,156902
gabapentin,,7/5/95,Treatment of amyotrophic lateral sclerosis,Designated,Not FDA Approved for Orphan Indication,,,,,Warner-Lambert Company,Parke-Davis Pharmaceutical Research Division,2800 Plymouth Road,Ann Arbor,Michigan,48105,United States,88695
gabapentin,Gralise,11/8/10,Management of postherpetic neuralgia,Designated/Approved,,For the management of postherpetic neuralgia, 01/28/2011 , 01/28/2018 ,,Golf Acquiror LLC,44 Whippany Road,Suite 300,Morristown,New Jersey,7960,United States,236506
gabapentin enacarbil,Horizant,6/7/11,Treatment of postherpetic neuralgia,Designated/Approved,,Management of postherpetic neuralgia in adults., 06/06/2012 , 06/06/2019 ,,"Arbor Pharmaceuticals, LLC",6 Concourse Parkway,Suite 1800,Atlanta,Georgia,30328,United States,330710
Gabexate,,9/18/20,Treatment of anti-neutrophil cytoplasmic antibody (ANCA)-associated vasculitis,Designated,Not FDA Approved for Orphan Indication,,,,,RNR BioMedical Inc.,c/o Noa Avtalion,161 Jefferson Av,Tenafly,New Jersey,7670,United States,764320
Gaboxadol,,10/3/17,Treatment of Fragile X syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Ovid Therapeutics,1460 Broadway,,New York,New York,10036,United States,605517
Gadolinium-chelated polysiloxane based nanoparticles,,2/25/21,Radiosensitizer to be used during radiation treatment of pancreatic cancer,Designated,Not FDA Approved for Orphan Indication,,,,,Nh TherAguix,"29, chemin du Vieux Chꮥ",,Meylan,,38240,France,803120
Gadolinium-chelated polysiloxane based nanoparticles,,5/10/21,Radiosensitizer to be used during radiation treatment of malignant glioma,Designated,Not FDA Approved for Orphan Indication,,,,,NH TherAguix,"29, Chemin de Vieux Chꮥ",,Meylan,,38240,France,816121
galinpepimut-S,,5/8/18,Treatment of multiple myeloma,Designated,Not FDA Approved for Orphan Indication,,,,,"SELLAS Life Sciences Group, Inc.",315 Madison Avenue,4th floor,New York,New York,10017,United States,636918
Gallium (68Ga) edotreotide,,7/1/15,Diagnostic for the clinical management of neuroendocrine tumors.,Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,"Advanced Accelerator Applications, USA",57 East Willow Street,,Millburn,New Jersey,7041,United States,483915
gallium citrate,,6/24/19,Treatment of lung infections in patients with cystic fibrosis,Designated,Not FDA Approved for Orphan Indication,,,,,"Aridis Pharmaceuticals, Inc.",5941 Optical Court,,San Jose,California,95138,United States,689419
Gallium nitrate injection,Ganite,12/5/88,Treatment of hypercalcemia of malignancy.,Designated/Approved/Withdrawn,,, 01/17/1991 , 01/17/1998 ,,Solopak Pharmaceutical Co.,1845 Tonne Road,,Elk Grove Village,Illinois,60007,United States,24487
"Gallium [Ga-68]-N-[(4,7,10-Tricarboxymethyl-1,4,7,10-tetraazacyclododec-1-yl)acetyl]-D-phenylalanyl-L-cysteinyl-L-tyrosyl-D-tryptophanyl-L-lysyl-L-threoninyl-L-cysteinyl-L-threonine-cyclic(2-7)disulfide",NETSPOT,12/31/13,Diagnostic for the clinical management of neuroendocrine tumors,Designated/Approved,,"For use after radiolabeling with Ga 68, with positron emission tomography (PET) for localization of somatostatin receptor positive neuroendocrine tumors (NETs) in adult and pediatric patients.", 06/01/2016 , 06/01/2023 ,A radioactive diagnostic agent indicated for use with with positron emission tomography (PET) for localization of somatostatin receptor positive neuroendocrine tumors (NETs) in adult and pediatric patients.,"Advanced Accelerator Applications, USA",57 East Willow Street,,Millburn,New Jersey,7041,United States,413613
Gallium-68 (DOTA0-Phel-Tyr3)octreotide,,10/25/13,The management of neuroendocrine tumors,Designated/Approved,,Ga 68 DOTATOC Injection is indicated for use with positron emission tomography (PET) for the localization of somatostatin receptor positive neuroendocrine tumors (NETs) in adult and pediatric patients., 08/21/2019 ,  ,Exclusivity waived by sponsor,University of Iowa Hospital & Clinics,Department of Radiology/PET Imaging Center,200 Hawkins Drive,Iowa City,Iowa,52242,United States,409513
Gamma hydroxybutyrate,,12/3/87,"Treatment of narcolepsy and the auxiliary symptoms of cataplexy, sleep paralysis, hypnagogic hallucinations and automatic behavior.",Designated,Not FDA Approved for Orphan Indication,,,,,"Biocraft Laboratories, Inc.",18-01 River Road,,Fair Lawn,New Jersey,7410,United States,26387
Gamma-hydroxybutyric acid,,1/22/85,"Treatment of narcolepsy and the auxiliary symptoms of cataplexy, sleep paralysis, hypnagogic hallucinations, and automatic behavior.",Designated/Withdrawn,Not FDA Approved for Orphan Indication,,,,,Sigma Chemical Company,,,,,,,5384
Gammalinolenic acid,,7/27/94,Treatment of juvenile rheumatoid arthritis.,Designated,Not FDA Approved for Orphan Indication,,,,,"Zurier, Robert B. M.D.",University of Massachusetts Medical Center,55 Lake Avenue,Worcester,Massachusetts,1655,United States,82994
ganaxolone,,8/12/21,Treatment of Tuberous Sclerosis Complex,Designated,Not FDA Approved for Orphan Indication,,,,,"Marinus Pharmaceuticals, Inc.",5 Radnor Corporate Center,,Radnor,Pennsylvania,19087,United States,833521
ganaxolone,,6/28/17,Treatment of cyclin-dependent kinase-like 5 (CDKL5) gene-related early-onset infantile epileptic encephalopathy,Designated,Not FDA Approved for Orphan Indication,,,,,Marinus Pharmaceuticals,170 North Radnor Chester Road,Suite 250,Radnor,Pennsylvania,19087,United States,578017
ganaxolone,,12/28/16,Treatment of Fragile X Syndrome,Designated,Not FDA Approved for Orphan Indication,,,,,Marinus Pharmaceuticals,170 North Radnor Chester Road,Suite 250,Radnor,Pennsylvania,19087,United States,547116
ganaxolone,,3/24/15,Treatment of Protocadherin 19 (PCDH19) female epilepsy.,Designated,Not FDA Approved for Orphan Indication,,,,,"Marinus Pharmaceuticals, Inc.",3 Radnor Corporate Center,Suite 304,Radnor,Pennsylvania,19087,United States,473515
ganaxolone,,4/14/16,Treatment of status epilepticus.,Designated,Not FDA Approved for Orphan Indication,,,,,"Marinus Pharmaceuticals, Inc.",Three Radnor Corporate Center,100 Matsonford Road,Radnor,Pennsylvania,19087,United States,489215
Ganaxolone,,5/25/94,Treatment of infantile spasms.,Designated,Not FDA Approved for Orphan Indication,,,,,"Marinus Pharmaceuticals, Inc.",21 Business Park Drive,,Branford,Connecticut,6405,United States,81894
